RID,|PROBLEM (given value || received value)|
7680,|city doesn't match: port chester || lake peekskill|
7688,|city doesn't match: ft. lauderdale || fort lauderdale|
7692,zipcode couldn't be parsed: T5J 1P7
7698,zipcode couldn't be parsed: SE1 9AD
7708,zipcode couldn't be parsed: W1G 0BA
7710,zipcode couldn't be parsed: T7X3Y3
7711,zipcode couldn't be parsed: T7X 3Y3
7712,zipcode couldn't be parsed: SW3 6NR
7713,zipcode couldn't be parsed: SW1Y 4RW
7714,zipcode couldn't be parsed: T7X3Y3
7715,zipcode couldn't be parsed: SW1Y 6LT
7716,zipcode couldn't be parsed: W1U 5HD
7717,zipcode couldn't be parsed: N1 6NT
7722,zipcode couldn't be parsed: WC1B 3NQ
7728,zipcode couldn't be parsed: M5V 1R5
7736,|city doesn't match: bonita springs || estero|
7738,|city doesn't match: glendale || milwaukee|
7741,zipcode couldn't be parsed: T2R 0G8
7743,zipcode couldn't be parsed: V8W 1B8
7745,zipcode couldn't be parsed: LS1 5RW
7746,|city doesn't match: clearwater || clearwater beach|
7749,zipcode couldn't be parsed: SS9 2UR
7755,zipcode couldn't be parsed: N1 1DA
7770,|city doesn't match: clayton || saint louis|
7771,|city doesn't match: clayton || saint louis|
7772,|city doesn't match: maplewood || saint louis|
7773,|city doesn't match: bloomington || minneapolis|
7774,|city doesn't match: bloomington || minneapolis|
7789,|city doesn't match: kailua-kona || kailua kona|
7790,|state doesn't match: cdmx || ny|
7790,|state doesn't match: cdmx || ny|
7794,zipcode couldn't be parsed: SK9 7DY
7795,zipcode couldn't be parsed: BH25 7DZ
7798,could not match zipcode: 11000
7799,|state doesn't match: cdmx || ny|
7799,|state doesn't match: cdmx || ny|
7805,zipcode couldn't be parsed: M3 4LP
7806,zipcode couldn't be parsed: M3 4LP
7813,|city doesn't match: sterling heights || clinton township|
7815,|city doesn't match: st. clair shores || saint clair shores|
7816,zipcode couldn't be parsed: M4N 2K9
7820,|city doesn't match: grosse pointe woods || grosse pointe|
7825,|city doesn't match: miami || miami beach|
7826,|city doesn't match: miami || miami beach|
7829,zipcode couldn't be parsed: B1 2JZ
7830,zipcode couldn't be parsed: NE1 6AE
7833,|city doesn't match: wellesley || wellesley hills|
7840,zipcode couldn't be parsed: E14 4ED
7841,|city doesn't match: richmond || henrico|
7843,zipcode couldn't be parsed: H3A 1G6
7847,|state doesn't match: jal || oh|
7847,|state doesn't match: jal || oh|
7848,could not match zipcode: 01210
7849,could not match zipcode: 06500
7850,zipcode couldn't be parsed: V6J 5B8
7856,zipcode couldn't be parsed: ME18 5QY
7857,zipcode couldn't be parsed: EC1N 8SB
7861,zipcode couldn't be parsed: SW19 7PA
7863,zipcode couldn't be parsed: T2G 1H4
7864,zipcode couldn't be parsed: T2G 1H4
7867,zipcode couldn't be parsed: T2H 0L3
7869,zipcode couldn't be parsed: T2H 0L3
7877,|city doesn't match: ft. lauderdale || fort lauderdale|
7879,zipcode couldn't be parsed: SW4 0JG
7884,zipcode couldn't be parsed: N2J 2Z5
7887,zipcode couldn't be parsed: CH1 1DE
7895,could not match zipcode: 93154
7896,could not match zipcode: 53100
7897,|state doesn't match: cdmx || ny|
7897,|state doesn't match: cdmx || ny|
7899,zipcode couldn't be parsed: SW3 1RX
7915,zipcode couldn't be parsed: CF37 2ST
7917,|state doesn't match: nle || mo|
7917,|state doesn't match: nle || mo|
7918,|state doesn't match: nle || mo|
7918,|state doesn't match: nle || mo|
7921,|city doesn't match: lighthouse point || pompano beach|
7925,|city doesn't match: woodside || redwood city|
7929,|city doesn't match: coral gables || miami|
7942,zipcode couldn't be parsed: G2 5NE
7945,zipcode couldn't be parsed: M5S 1H1
7948,|state doesn't match: distrito federal || nh|
7948,|state doesn't match: distrito federal || nh|
7949,|state doesn't match: nle || mo|
7949,|state doesn't match: nle || mo|
7950,could not match zipcode: 05300
7951,|city doesn't match: troy || new haven|
7958,could not match zipcode: 11320
7960,zipcode couldn't be parsed: GL54 1AQ
7967,could not match zipcode: 23400
7969,zipcode couldn't be parsed: V6J 1M5
7970,could not match zipcode: 23400
7975,zipcode couldn't be parsed: CH1 2DY
7976,zipcode couldn't be parsed: NG1 1HF
7977,zipcode couldn't be parsed: N1 8LN
7978,|city doesn't match: college park || atlanta|
7984,zipcode couldn't be parsed: E1 6LA
7985,zipcode couldn't be parsed: L1 5AG
7986,zipcode couldn't be parsed: E9 7LH
7987,zipcode couldn't be parsed: WC2R 0PD
7988,zipcode couldn't be parsed: EC1R 5DP
7989,zipcode couldn't be parsed: E18 1NG
7990,zipcode couldn't be parsed: WC2B 5RH
7991,zipcode couldn't be parsed: WC2H 7NA
7992,could not match zipcode: 11111
7993,zipcode couldn't be parsed: SE1 2BD
7994,zipcode couldn't be parsed: TW10 7AB
7995,could not match zipcode: 1111111
7996,zipcode couldn't be parsed: SW6 5SJ
7997,zipcode couldn't be parsed: NW3 5AS
7998,zipcode couldn't be parsed: EC4A 1ES
7999,could not match zipcode: 111111
8000,could not match zipcode: 1111111
8001,zipcode couldn't be parsed: W1T 1DT
8014,zipcode couldn't be parsed: V0N 1B4
8023,|city doesn't match: lake buena vista || orlando|
8024,|city doesn't match: fox point || milwaukee|
8029,|city doesn't match: westmont || chicago|
8034,|city doesn't match: blue ash || cincinnati|
8044,zipcode couldn't be parsed: T6H 3C1
8045,zipcode couldn't be parsed: AL1 3RD
8046,|city doesn't match: white plains || west harrison|
8047,zipcode couldn't be parsed: none
8048,could not match zipcode: 00000
8049,could not match zipcode: 00000
8050,could not match zipcode: 00000
8053,zipcode couldn't be parsed: V8M 1C5
8054,|city doesn't match: manalapan || lake worth|
8060,|city doesn't match: manalapan || lake worth|
8065,|city doesn't match: edina || minneapolis|
8086,could not match zipcode: 77500
8096,|city doesn't match: san diego || la jolla|
8101,|city doesn't match: coon rapids || minneapolis|
10001,could not match zipcode: 107-0062
10002,could not match zipcode: 60313
10004,could not match zipcode: 100-6336
10005,|state doesn't match:  || nc|
10005,|state doesn't match:  || nc|
10006,|state doesn't match: cdmx || ny|
10006,|state doesn't match: cdmx || ny|
10007,could not match zipcode: 107-0052
10008,could not match zipcode: 28014
10009,|state doesn't match: cdmx || nh|
10009,|state doesn't match: cdmx || nh|
10010,could not match zipcode: 166-0013
10011,|state doesn't match: nw || ky|
10011,|state doesn't match: nw || ky|
10013,could not match zipcode: 107-0052
10014,|state doesn't match:  || ny|
10014,|state doesn't match:  || ny|
10016,could not match zipcode: 107-0052
10017,could not match zipcode: 28004
10019,could not match zipcode: 104-0061
10020,|state doesn't match: spain || nj|
10020,|state doesn't match: spain || nj|
10022,could not match zipcode: 106-0031
10023,could not match zipcode: 29780
10025,could not match zipcode: 106-0031
10026,could not match zipcode: 60325
10028,could not match zipcode: 150-0033
10029,could not match zipcode: 63225
10031,could not match zipcode: 105-0001
10032,|state doesn't match: he || mo|
10032,|state doesn't match: he || mo|
10034,could not match zipcode: 100-6507
10035,could not match zipcode: 60313
10036,|city doesn't match: west hollywood || los angeles|
10037,could not match zipcode: 104-0061
10038,|state doesn't match:  || co|
10038,|state doesn't match:  || co|
10040,could not match zipcode: 108-0071
10041,could not match zipcode: 60314
10043,could not match zipcode: 104-0061
10044,could not match zipcode: 65366
10046,could not match zipcode: 150-0042
10047,could not match zipcode: 60596
10049,could not match zipcode: 105-7141
10050,|state doesn't match: nw || ia|
10050,|state doesn't match: nw || ia|
10052,could not match zipcode: 105-7141
10053,|state doesn't match:    || ia|
10053,|state doesn't match:    || ia|
10055,could not match zipcode: 150-0001
10056,could not match zipcode: 65189
10058,could not match zipcode: 104-0061
10059,could not match zipcode: 60313
10061,could not match zipcode: 150-0041
10062,|state doesn't match:  || ia|
10062,|state doesn't match:  || ia|
10064,could not match zipcode: 153-0051
10065,|state doesn't match: he || il|
10065,|state doesn't match: he || il|
10067,could not match zipcode: 108-0071
10068,|state doesn't match: he || il|
10068,|state doesn't match: he || il|
10070,could not match zipcode: 150-0044
10071,|state doesn't match: he || il|
10071,|state doesn't match: he || il|
10073,could not match zipcode: 150-0033
10074,could not match zipcode: 60313
10076,could not match zipcode: 150-0021
10077,could not match zipcode: 60286
10079,could not match zipcode: 107-0052
10080,could not match zipcode: 60313
10082,could not match zipcode: 100-6335
10083,could not match zipcode: 60489
10085,could not match zipcode: 106-0032
10086,could not match zipcode: 60386
10088,could not match zipcode: 108-0075
10089,could not match zipcode: 65183
10091,could not match zipcode: 100-6506
10092,|state doesn't match:    || ia|
10092,|state doesn't match:    || ia|
10094,could not match zipcode: 107-0052
10095,could not match zipcode: 60313
10097,could not match zipcode: 107-0052
10098,could not match zipcode: 60313
10100,could not match zipcode: 106-0031
10103,could not match zipcode: 389-0102
10104,|state doesn't match:    || nc|
10104,|state doesn't match:    || nc|
10106,could not match zipcode: 107-0062
10107,|state doesn't match:    || nc|
10107,|state doesn't match:    || nc|
10108,zipcode couldn't be parsed: SW1W 8EG
10109,could not match zipcode: 107-0062
10110,|state doesn't match:    || nc|
10110,|state doesn't match:    || nc|
10111,zipcode couldn't be parsed: SW1A 1EE
10112,could not match zipcode: 226-0033
10113,|state doesn't match:    || nc|
10113,|state doesn't match:    || nc|
10115,could not match zipcode: 104-0061
10116,|state doesn't match:    || nj|
10116,|state doesn't match:    || nj|
10117,zipcode couldn't be parsed: L7R 2E8
10118,could not match zipcode: 107-0062
10119,could not match zipcode: 28046
10121,could not match zipcode: 107-0062
10122,|state doesn't match: spain || nc|
10122,|state doesn't match: spain || nc|
10124,could not match zipcode: 150-0001
10125,|state doesn't match:    || nc|
10125,|state doesn't match:    || nc|
10127,could not match zipcode: 100-0006
10128,|state doesn't match:    || nj|
10128,|state doesn't match:    || nj|
10130,could not match zipcode: 105-7142
10131,|state doesn't match:    || nc|
10131,|state doesn't match:    || nc|
10133,could not match zipcode: 104-0061
10134,|state doesn't match:    || nj|
10134,|state doesn't match:    || nj|
10136,could not match zipcode: 107-0061
10137,|state doesn't match:    || nc|
10137,|state doesn't match:    || nc|
10139,could not match zipcode: 104-0061
10140,|state doesn't match:    || sc|
10140,|state doesn't match:    || sc|
10142,could not match zipcode: 105-8333
10143,could not match zipcode: 07610
10145,could not match zipcode: 106-0031
10146,|state doesn't match:    || nc|
10146,|state doesn't match:    || nc|
10148,could not match zipcode: 106-0031
10149,|state doesn't match: bw || la|
10149,|state doesn't match: bw || la|
10151,could not match zipcode: 107-0052
10152,|state doesn't match:  || nc|
10152,|state doesn't match:  || nc|
10154,could not match zipcode: 100-0006
10156,|city doesn't match: st. louis || saint louis|
10157,could not match zipcode: 107-0052
10158,could not match zipcode: 28004
10160,could not match zipcode: 106-0047
10161,could not match zipcode: 60311
10163,could not match zipcode: 106-0032
10164,could not match zipcode: 28004
10165,zipcode couldn't be parsed: V8V 1X3
10166,could not match zipcode: 106-0032
10167,|state doesn't match:    || nc|
10167,|state doesn't match:    || nc|
10168,zipcode couldn't be parsed: V8V 1X3
10169,could not match zipcode: 100-0005
10170,could not match zipcode: 10785
10172,could not match zipcode: 150-0043
10173,could not match zipcode: 28013
10174,zipcode couldn't be parsed: W1U 2RD
10175,could not match zipcode: 107-0062
10176,could not match zipcode: 20099
10177,zipcode couldn't be parsed: BN1 1HQ
10178,could not match zipcode: 150-0013
10179,|state doesn't match:    || va|
10179,|state doesn't match:    || va|
10180,zipcode couldn't be parsed: N1 9RG
10181,could not match zipcode: 542-0085
10182,could not match zipcode: 28046
10183,zipcode couldn't be parsed: W2 1QJ
10184,could not match zipcode: 150-0022
10185,|state doesn't match:    || nc|
10185,|state doesn't match:    || nc|
10186,could not match zipcode: 60314
10187,could not match zipcode: 153-0043
10188,could not match zipcode: 5554443333
10190,could not match zipcode: 106-0032
10192,could not match zipcode: 05120
10193,could not match zipcode: 150-0013
10194,could not match zipcode: 93400
10195,zipcode couldn't be parsed: V5Z 3Z1
10196,could not match zipcode: 150-0002
10197,|state doesn't match:  || tx|
10197,|state doesn't match:  || tx|
10199,could not match zipcode: 153-0042
10200,could not match zipcode: 75008
10201,|state doesn't match: cdmx || ny|
10201,|state doesn't match: cdmx || ny|
10202,could not match zipcode: 106-0032
10203,|state doesn't match:    || ct|
10203,|state doesn't match:    || ct|
10204,|state doesn't match: nle || mo|
10204,|state doesn't match: nle || mo|
10205,could not match zipcode: 106-0031
10206,|state doesn't match:    || nj|
10206,|state doesn't match:    || nj|
10207,|city doesn't match: denver  || denver|
10208,could not match zipcode: 106-0044
10209,|state doesn't match:    || nj|
10209,|state doesn't match:    || nj|
10210,zipcode couldn't be parsed: EC3N 1AL
10211,could not match zipcode: 106-0045
10213,zipcode couldn't be parsed: W1K 7TN
10214,could not match zipcode: 150-0013
10215,|state doesn't match:    || nc|
10215,|state doesn't match:    || nc|
10216,zipcode couldn't be parsed: WA16 6DX
10218,|state doesn't match:    || nc|
10218,|state doesn't match:    || nc|
10219,zipcode couldn't be parsed: M20 2DW
10220,could not match zipcode: 107-0061
10221,|state doesn't match:  || co|
10221,|state doesn't match:  || co|
10222,zipcode couldn't be parsed: BN1 3TD
10224,could not match zipcode: 8045
10225,zipcode couldn't be parsed: W1T 5ED
10227,could not match zipcode: 8050
10228,zipcode couldn't be parsed: SW3 3QP
10229,could not match zipcode: 112-0004
10230,could not match zipcode: 82031
10231,zipcode couldn't be parsed: EC1V 4NR
10232,could not match zipcode: 106-0031
10233,could not match zipcode: 81667
10234,zipcode couldn't be parsed: BN1 1HQ
10235,could not match zipcode: 100-0006
10236,could not match zipcode: 8704
10237,zipcode couldn't be parsed: V8V 1W2
10238,could not match zipcode: 104-0061
10239,could not match zipcode: 81245
10240,zipcode couldn't be parsed: V5T 3E2
10241,could not match zipcode: 104-0061
10242,could not match zipcode: 20095
10244,could not match zipcode: 104-0061
10245,could not match zipcode: 20354
10247,could not match zipcode: 530-0001
10248,|state doesn't match:  || co|
10248,|state doesn't match:  || co|
10250,could not match zipcode: 106-0031
10251,could not match zipcode: 22085
10253,could not match zipcode: 104-0061
10254,|state doesn't match:  || co|
10254,|state doesn't match:  || co|
10256,could not match zipcode: 105-7046
10257,could not match zipcode: 20249
10258,|state doesn't match: cdmx || ny|
10258,|state doesn't match: cdmx || ny|
10259,could not match zipcode: 220-0012
10260,could not match zipcode: 60329
10262,could not match zipcode: 106-0032
10263,could not match zipcode: 22761
10265,could not match zipcode: 154-0005
10268,could not match zipcode: 106-0032
10269,could not match zipcode: 22760
10271,could not match zipcode: 106-0031
10272,could not match zipcode: 81667
10274,could not match zipcode: 106-0045
10275,could not match zipcode: 8038
10277,could not match zipcode: 106-0032
10280,could not match zipcode: 108-0074
10283,could not match zipcode: 106-0044
10284,|state doesn't match:    || nj|
10284,|state doesn't match:    || nj|
10286,could not match zipcode: 231-0023
10287,|state doesn't match:    || ma|
10287,|state doesn't match:    || ma|
10289,could not match zipcode: 100-0005
10292,could not match zipcode: 153-0061
10293,|state doesn't match:  || nj|
10293,|state doesn't match:  || nj|
10295,could not match zipcode: 107-0062
10296,|state doesn't match:    || nc|
10296,|state doesn't match:    || nc|
10298,could not match zipcode: 104-0061
10299,|state doesn't match:  || ny|
10299,|state doesn't match:  || ny|
10300,no state
10300,no state
10301,could not match zipcode: 104-0061
10302,|state doesn't match: nrw || ia|
10302,|state doesn't match: nrw || ia|
10304,could not match zipcode: 136-0076
10305,|state doesn't match:  || tx|
10305,|state doesn't match:  || tx|
10307,could not match zipcode: 108-0071
10308,|state doesn't match:    || nc|
10308,|state doesn't match:    || nc|
10309,|city doesn't match: rosemont || des plaines|
10310,could not match zipcode: 104-0061
10311,|state doesn't match:  || tx|
10311,|state doesn't match:  || tx|
10313,could not match zipcode: 107-0052
10314,|state doesn't match:  || tx|
10314,|state doesn't match:  || tx|
10316,could not match zipcode: 106-0032
10317,|state doesn't match:  || nj|
10317,|state doesn't match:  || nj|
10318,|city doesn't match: st. louis || saint louis|
10319,could not match zipcode: 107-0052
10322,could not match zipcode: 106-0031
10323,|state doesn't match:  || tx|
10323,|state doesn't match:  || tx|
10325,could not match zipcode: 106-0032
10326,could not match zipcode: 8001
10327,|zipcode doesn't match: 41011-1267 || 41011|
10328,could not match zipcode: 107-0052
10329,could not match zipcode: 8001
10331,could not match zipcode: 104-0061
10332,|state doesn't match: nw || ia|
10332,|state doesn't match: nw || ia|
10334,could not match zipcode: 105-0021
10335,could not match zipcode: 22765
10336,|city doesn't match: belterra || florence|
10337,could not match zipcode: 100-0006
10338,|state doesn't match: bw || la|
10338,|state doesn't match: bw || la|
10340,could not match zipcode: 160-8330
10341,could not match zipcode: 23552
10343,could not match zipcode: 104-0061
10344,|state doesn't match: nrw || ky|
10344,|state doesn't match: nrw || ky|
10346,could not match zipcode: 100-0005
10347,|state doesn't match: nw || ky|
10347,|state doesn't match: nw || ky|
10349,could not match zipcode: 105-0011
10350,|state doesn't match: by || ca|
10350,|state doesn't match: by || ca|
10352,could not match zipcode: 171-0021
10353,|state doesn't match: 111 || ky|
10353,|state doesn't match: 111 || ky|
10355,could not match zipcode: 107-0052
10356,|state doesn't match: bw || tx|
10356,|state doesn't match: bw || tx|
10358,could not match zipcode: 105-0004
10359,|state doesn't match: bw || ar|
10359,|state doesn't match: bw || ar|
10360,zipcode couldn't be parsed: V6J 1M5
10361,could not match zipcode: 107-0062
10362,could not match zipcode: 25700
10364,could not match zipcode: 106-0032
10365,could not match zipcode: 25700
10367,could not match zipcode: 107-0052
10368,could not match zipcode: 48292
10370,could not match zipcode: 106-0032
10371,could not match zipcode: 22763
10373,could not match zipcode: 100-0006
10374,|state doesn't match:    || nc|
10374,|state doesn't match:    || nc|
10376,could not match zipcode: 100-0013
10377,could not match zipcode: 40163
10379,could not match zipcode: 104-0061
10380,|state doesn't match: nw || ky|
10380,|state doesn't match: nw || ky|
10382,could not match zipcode: 171-0021
10383,could not match zipcode: 53639
10385,could not match zipcode: 104-0061
10386,|state doesn't match: nrw || ia|
10386,|state doesn't match: nrw || ia|
10388,could not match zipcode: 141-0031
10389,|state doesn't match: rlp || mn|
10389,|state doesn't match: rlp || mn|
10390,|city doesn't match: hallandale beach || hallandale|
10391,could not match zipcode: 104-0061
10392,|state doesn't match: rlp || mn|
10392,|state doesn't match: rlp || mn|
10394,could not match zipcode: 106-0031
10395,|state doesn't match: nrw || ia|
10395,|state doesn't match: nrw || ia|
10397,could not match zipcode: 100-0014
10398,could not match zipcode: 60313
10400,could not match zipcode: 100-0006
10401,could not match zipcode: 20253
10403,could not match zipcode: 100-0006
10404,could not match zipcode: 31628
10406,could not match zipcode: 248-0014
10407,|state doesn't match: rlp || mn|
10407,|state doesn't match: rlp || mn|
10409,could not match zipcode: 330-0804
10410,|state doesn't match: rlp || mn|
10410,|state doesn't match: rlp || mn|
10412,could not match zipcode: 150-0001
10413,could not match zipcode: 23552
10415,could not match zipcode: 450-6242
10416,|state doesn't match: mecklenburg-vorpommern || va|
10416,|state doesn't match: mecklenburg-vorpommern || va|
10418,could not match zipcode: 104-0061
10419,|state doesn't match:  || ny|
10419,|state doesn't match:  || ny|
10421,could not match zipcode: 104-0061
10422,|state doesn't match:    || nj|
10422,|state doesn't match:    || nj|
10424,could not match zipcode: 104-0061
10425,could not match zipcode: 06300
10427,could not match zipcode: 220-8172
10428,could not match zipcode: 06300
10430,could not match zipcode: 107-0062
10431,zipcode couldn't be parsed: CT 08021
10433,could not match zipcode: 106-6005
10436,could not match zipcode: 107-0052
10439,could not match zipcode: 100-0005
10440,|state doesn't match:  || tx|
10440,|state doesn't match:  || tx|
10442,could not match zipcode: 106-6202
10443,could not match zipcode: 10777
10445,could not match zipcode: 150-0001
10446,|state doesn't match: berlin || ny|
10446,|state doesn't match: berlin || ny|
10448,could not match zipcode: 150-0001
10451,could not match zipcode: 106-0031
10452,zipcode couldn't be parsed: CT 08002
10454,could not match zipcode: 150-0013
10455,|state doesn't match:  || tx|
10455,|state doesn't match:  || tx|
10457,could not match zipcode: 150-0021
10459,|city doesn't match: foster city || san mateo|
10460,could not match zipcode: 107-0052
10463,could not match zipcode: 106-0032
10464,could not match zipcode: 75005
10466,could not match zipcode: 150-0001
10467,|state doesn't match:  || tx|
10467,|state doesn't match:  || tx|
10469,could not match zipcode: 108-0071
10470,|state doesn't match:    || tx|
10470,|state doesn't match:    || tx|
10472,could not match zipcode: 158-0081
10473,|state doesn't match:    || ia|
10473,|state doesn't match:    || ia|
10475,could not match zipcode: 108-0071
10476,|state doesn't match:    || il|
10476,|state doesn't match:    || il|
10478,could not match zipcode: 106-0046
10479,could not match zipcode: 28013
10481,could not match zipcode: 106-0032
10482,|state doesn't match: rp || mn|
10482,|state doesn't match: rp || mn|
10484,could not match zipcode: 153-0042
10485,could not match zipcode: 51688
10487,could not match zipcode: 100-0013
10488,|state doesn't match: rp || mn|
10488,|state doesn't match: rp || mn|
10490,could not match zipcode: 104-0061
10491,could not match zipcode: 22397
10493,could not match zipcode: 107-6301
10494,|state doesn't match:  || ks|
10494,|state doesn't match:  || ks|
10496,could not match zipcode: 140-0002
10497,|state doesn't match:    || ny|
10497,|state doesn't match:    || ny|
10499,could not match zipcode: 530-0001
10500,|state doesn't match:    || ny|
10500,|state doesn't match:    || ny|
10502,could not match zipcode: 160-0022
10503,could not match zipcode: 20253
10505,could not match zipcode: 107-0052
10506,could not match zipcode: 65183
10508,could not match zipcode: 105-0021
10509,could not match zipcode: 10437
10511,could not match zipcode: 106-0031
10512,could not match zipcode: 10623
10513,zipcode couldn't be parsed: W1D 4PZ
10514,could not match zipcode: 154-0016
10515,|state doesn't match:    || oh|
10515,|state doesn't match:    || oh|
10516,zipcode couldn't be parsed: W1H 4NA
10517,could not match zipcode: 104-0061
10518,|state doesn't match: nrw || mi|
10518,|state doesn't match: nrw || mi|
10520,could not match zipcode: 276-0028
10521,|state doesn't match: nrw || oh|
10521,|state doesn't match: nrw || oh|
10523,could not match zipcode: 276-0028
10524,could not match zipcode: 10437
10526,could not match zipcode: 106-0032
10527,|state doesn't match: nw || ia|
10527,|state doesn't match: nw || ia|
10529,could not match zipcode: 150-0022
10530,|state doesn't match: nrw || ia|
10530,|state doesn't match: nrw || ia|
10532,could not match zipcode: 100-0000
10533,|state doesn't match: nrw || ia|
10533,|state doesn't match: nrw || ia|
10535,could not match zipcode: 157-0062
10536,|state doesn't match:    || ar|
10536,|state doesn't match:    || ar|
10538,could not match zipcode: 103-0027
10539,could not match zipcode: 80331
10540,|state doesn't match: cdmx || ny|
10540,|state doesn't match: cdmx || ny|
10541,could not match zipcode: 160-0022
10542,|state doesn't match: by || co|
10542,|state doesn't match: by || co|
10543,|city doesn't match: decater || decatur|
10544,could not match zipcode: 150-0022
10545,could not match zipcode: 49479
10548,|state doesn't match:    || ky|
10548,|state doesn't match:    || ky|
10549,|city doesn't match: miami || marco island|
10550,no zipcode
10551,|state doesn't match:    || ky|
10551,|state doesn't match:    || ky|
10553,could not match zipcode: 160-0021
10554,could not match zipcode: 12681
10556,could not match zipcode: 100-0013
10557,|state doesn't match: he || mo|
10557,|state doesn't match: he || mo|
10558,|city doesn't match: saint simons || saint simons island|
10559,could not match zipcode: 150-0041
10560,could not match zipcode: 68161
10561,|city doesn't match: wauwatosa || milwaukee|
10562,could not match zipcode: 104-0061
10563,|state doesn't match: by || or|
10563,|state doesn't match: by || or|
10565,could not match zipcode: 106-0031
10566,|state doesn't match:  || la|
10566,|state doesn't match:  || la|
10568,could not match zipcode: 104-0061
10569,|state doesn't match:  || pa|
10569,|state doesn't match:  || pa|
10571,could not match zipcode: 190-0022
10574,could not match zipcode: 151-0053
10575,|state doesn't match:  || tx|
10575,|state doesn't match:  || tx|
10577,could not match zipcode: 107-0061
10578,could not match zipcode: 80331
10579,zipcode couldn't be parsed: CT51AB
10580,could not match zipcode: 104-0061
10583,could not match zipcode: 530-0001
10586,could not match zipcode: 107-0052
10587,|state doesn't match:    || nj|
10587,|state doesn't match:    || nj|
10589,could not match zipcode: 160-0021
10590,|state doesn't match:    || nc|
10590,|state doesn't match:    || nc|
10592,could not match zipcode: 160-0021
10593,|state doesn't match:    || ga|
10593,|state doesn't match:    || ga|
10595,could not match zipcode: 160-0021
10596,|state doesn't match:    || ga|
10596,|state doesn't match:    || ga|
10598,could not match zipcode: 160-0021
10599,|state doesn't match:    || ga|
10599,|state doesn't match:    || ga|
10600,|city doesn't match: west conshohocken || conshohocken|
10601,could not match zipcode: 160-0021
10602,|state doesn't match:    || ga|
10602,|state doesn't match:    || ga|
10603,|state doesn't match: cdmx || ny|
10603,|state doesn't match: cdmx || ny|
10604,could not match zipcode: 108-0075
10605,|state doesn't match:    || tx|
10605,|state doesn't match:    || tx|
10606,could not match zipcode: 62290
10607,could not match zipcode: 104-0032
10608,|state doesn't match:    || nj|
10608,|state doesn't match:    || nj|
10609,|state doesn't match: col. la herradura || ia|
10609,|state doesn't match: col. la herradura || ia|
10610,could not match zipcode: 103-0024
10611,|state doesn't match:  || tx|
10611,|state doesn't match:  || tx|
10613,could not match zipcode: 106-0032
10614,|state doesn't match:  || co|
10614,|state doesn't match:  || co|
10616,could not match zipcode: 100-6305
10617,|state doesn't match:    || ga|
10617,|state doesn't match:    || ga|
10619,could not match zipcode: 105-0001
10620,|state doesn't match:    || nc|
10620,|state doesn't match:    || nc|
10622,could not match zipcode: 106-0047
10623,|state doesn't match:    || nj|
10623,|state doesn't match:    || nj|
10625,could not match zipcode: 100-0005
10626,|state doesn't match:    || nj|
10626,|state doesn't match:    || nj|
10628,could not match zipcode: 104-0061
10629,could not match zipcode: 80331
10631,could not match zipcode: 104-0061
10632,|state doesn't match:  || co|
10632,|state doesn't match:  || co|
10634,could not match zipcode: 103-0014
10635,|state doesn't match:    || nj|
10635,|state doesn't match:    || nj|
10637,could not match zipcode: 106-0031
10640,could not match zipcode: 150-0034
10641,|state doesn't match:    || nj|
10641,|state doesn't match:    || nj|
10643,could not match zipcode: 104-0061
10644,|state doesn't match:    || in|
10644,|state doesn't match:    || in|
10646,could not match zipcode: 100-0013
10647,|state doesn't match:  || ia|
10647,|state doesn't match:  || ia|
10648,|city doesn't match: holladay || salt lake city|
10649,could not match zipcode: 104-0045
10650,|state doesn't match:    || nj|
10650,|state doesn't match:    || nj|
10652,could not match zipcode: 104-0061
10655,could not match zipcode: 106-0032
10656,could not match zipcode: 45289
10657,|city doesn't match: downtown newark || newark|
10658,could not match zipcode: 106-8541
10659,could not match zipcode: 20354
10660,could not match zipcode: 33341
10661,could not match zipcode: 106-0031
10662,|state doesn't match:  || ia|
10662,|state doesn't match:  || ia|
10664,could not match zipcode: 730-0021
10665,could not match zipcode: 50935
10667,could not match zipcode: 106-0031
10668,could not match zipcode: 60327
10670,could not match zipcode: 104-0061
10671,could not match zipcode: 60313
10673,could not match zipcode: 153-0061
10674,could not match zipcode: 60313
10676,could not match zipcode: 240-0112
10677,could not match zipcode: 60313
10678,|city doesn't match: palm beach gardens || north palm beach|
10679,could not match zipcode: 150-0013
10680,could not match zipcode: 66121
10682,could not match zipcode: 153-0051
10683,could not match zipcode: 50374
10685,could not match zipcode: 106-0031
10686,could not match zipcode: 45257
10688,could not match zipcode: 108-0014
10689,could not match zipcode: 25436
10691,could not match zipcode: 460-0003
10692,could not match zipcode: 10629
10694,could not match zipcode: 450-0002
10695,could not match zipcode: 59505
10697,could not match zipcode: 441-8037
10698,|state doesn't match: sachsen || me|
10698,|state doesn't match: sachsen || me|
10700,could not match zipcode: 448-0807
10701,|state doesn't match: nw || ia|
10701,|state doesn't match: nw || ia|
10703,could not match zipcode: 441-8019
10704,|state doesn't match: nw || ia|
10704,|state doesn't match: nw || ia|
10706,could not match zipcode: 160-0005
10707,could not match zipcode: 45149
10709,could not match zipcode: 107-0062
10710,|state doesn't match:  || ny|
10710,|state doesn't match:  || ny|
10712,could not match zipcode: 106-0032
10713,could not match zipcode: 47051
